Key;Type;Desc;English;Vietnamese [vi]
Block/CookingStand_Smelter;Text;;Smelter@Can smelt metal ore, sand and seaweed.;Lò nung@Nung được quặng kim loại, cát và rong biển.
Block/CookingStand_Smelter_Electric;Text;;Electric Smelter@Can smelt metal ore, sand and seaweed. With electricity!;Lò nung điện@Nung được quặng kim loại, cát và rong biển. Bằng điện!
Block/Cropplot_Grass;Text;;Grass plot@Add water, get grass, feed animals.;Luống cỏ@Thêm nước, có cỏ, cho vật nuôi ăn.
Block/Cropplot_Large;Text;;Large crop plot@Lets you grow trees.;Luống trồng lớn@Cho phép bạn trồng cây.
Block/Cropplot_Large_Tier3;Text;;Advanced large crop plot@A fancier plot that lets you grow trees.;Luống trồng lớn nâng cao@Một luống trồng đẹp hơn cho phép trồng cây.
Block/Cropplot_Medium;Text;;Medium crop plot@Lets you grow bigger plants.;Luống trồng vừa@Cho phép bạn trồng cây to hơn.
Block/Cropplot_Medium_Tier3;Text;; Advanced medium crop plot@A fancier plot that lets you grow more bigger plants.;Luống trồng vừa nâng cao@Một luống trồng đẹp hơn cho phép trồng nhiều cây to hơn.
Block/Cropplot_Shoe;Text;;Old shoe@Maybe you could plant something in this...;Giày cũ@Có thể bạn nên trồng gì đó vào đây...
Block/Cropplot_Small;Text;;Small crop plot@Lets you grow plants.;Luống trồng nhỏ@Cho phép bạn trồng cây.
Block/Cropplot_Small_Tier3;Text;;Advanced small crop plot@A fancier plot that lets you grow more plants.;Luống trồng nhỏ nâng cao@Một luống trồng đẹp hơn cho phép trồng nhiều cây hơn.
Block/Cupboard;Text;;Cupboard@A decorative piece with minor storage.;Tủ đựng đồ@Một món trang trí với khả năng lưu trữ nhỏ.
Block/Curtain;Text;;Curtain@Keeps the monsters from coming in.;Rèm cửa@Ngăn quái vật đi vào.
Block/Cutlery;Text;;Cutlery@Where is the spoon?;Dao muỗng nĩa@Cái muỗng đâu rồi?
Block/DetailPlank;Text;;Detail plank@Adds details to your raft design.;Ván trang trí@Thêm chi tiết cho thiết kế bè của bạn.
Block/Door_Thatch;Text;;Thatch door@Provides support for additional floors.;Cửa rơm@Hỗ trợ xây thêm tầng.
Block/Door_Tier3;Text;;Solid wooden door@Provides support for additional floors.;Cửa gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/Door_Wood;Text;;Wooden door@Provides support for additional floors.;Cửa gỗ@Hỗ trợ xây thêm tầng.
Block/DrawBridgeLong;Text;;Long draw bridge@Connects two parts of your raft.;Cầu kéo dài@Kết nối hai phần của bè.
Block/DrawBridgeShort;Text;;Short draw bridge@Connects two parts of your raft.;Cầu kéo ngắn@Kết nối hai phần của bè.
Block/ElectricPurifier;Text;;Electric purifier@Can be connected with waterpipes!;Máy lọc nước điện@Có thể kết nối với ống dẫn nước!
Block/EngineControls;Text;;Engine controls@Allows you to control the advanced anchor and all engines from one spot.;Bảng điều khiển động cơ@Cho phép bạn điều khiển neo nâng cao và tất cả động cơ từ một vị trí.
Block/Fence_Plank;Text;;Plank fence@Keeps you from falling off your raft.;Hàng rào ván@Ngăn bạn rơi khỏi bè.
Block/Fence_Rope;Text;;Rope fence@Keeps you from falling off your raft.;Hàng rào dây thừng@Ngăn bạn rơi khỏi bè.
Block/Fence_Tier3;Text;;Solid wooden fence@Keeps you from falling off your raft.;Hàng rào gỗ chắc chắn@Ngăn bạn rơi khỏi bè.
Block/Figurine_Chicken;Text;;Clucker@Spawns a clucker.;Gà cục tác@Sinh ra một con gà.
Block/Figurine_Goat;Text;;Goat@Spawns a goat.;Dê@Sinh ra một con dê.
Block/Figurine_Llama;Text;;Llama@Spawns a llama.;Lạc đà không bướu@Sinh ra một con lạc đà không bướu.
Block/FireBasket;Text;;Fire basket@Warm and cozy.;Giỏ lửa@Ấm áp và dễ chịu.
Block/Fireplace;Text;;Fireplace@Warm and cozy.;Lò sưởi@Ấm áp và dễ chịu.
Block/FirewoodRack;Text;;Firewood rack@Stores wood like nothing you have seen before.;Giá củi@Chứa gỗ nhiều hơn bạn tưởng.
Block/Firework;Text;;Firework@Can be painted when placed on the raft.;Pháo hoa@Có thể sơn khi đặt trên bè.
Block/Flag;Text;;Flag@Every raft needs at least one of these.;Lá cờ@Bè nào cũng cần ít nhất một cái.
Block/Floor_Tier3;Text;;Solid wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ chắc chắn@Dùng để xây thêm tầng và mái. Không thể xây trên không.
Block/Floor_Triangular_Tier3;Text;;Triangular solid wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ chắc chắn tam giác@Dùng để xây thêm tầng và mái. Không thể xây trên không.
Block/Floor_Triangular_Wood;Text;;Triangular wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ tam giác@Dùng để xây thêm tầng và mái. Không thể xây trên không.
Block/Floor_Wood;Text;;Wooden floor@Used to build additional floors and roof. Cannot be built in thin air.;Sàn gỗ@Dùng để xây thêm tầng và mái. Không thể xây trên không.
Block/Flower_AloeVera;Text;;Aloe Vera@Green and slimy.;Nha đam@Xanh và nhớt.
Block/Flower_Cactus;Text;;Cactus@Ouch!;Xương rồng@Ui đau!
Block/Flower_Hibiscus;Text;;Hibiscus@The flowers are trumpet shaped.;Dâm bụt@Hoa có hình loa kèn.
Block/Flower_Monstera;Text;;Monstera@Big and beautiful.;Trầu bà@To và đẹp.
Block/Flower_Rose;Text;;Rose@Smells amazing.;Hoa hồng@Thơm tuyệt vời.
Block/Flower_Sunflower;Text;;Sunflower@Yellow, like a sun.;Hoa hướng dương@Vàng, như mặt trời.
Block/FoundationArmor;Text;;Foundation armor@Provides extra protection for your foundation.;Giáp nền tảng@Bảo vệ thêm cho nền bè của bạn.
Block/FoundationCounter;Text;;Foundation counter@Keeps track of your foundations, so you don't have to.;Bộ đếm nền tảng@Theo dõi số nền bè giúp bạn khỏi phải tự đếm.
Block/Foundation_Tier3;Text;;Solid foundation@Used to expand your raft on the bottom floor.;Nền tảng chắc chắn@Dùng để mở rộng bè ở tầng dưới cùng.
Block/Foundation_Triangular_Tier3;Text;;Triangular solid foundation@Used to expand your raft on the bottom floor.;Nền tảng chắc chắn tam giác@Dùng để mở rộng bè ở tầng dưới cùng.
Block/Foundation_Triangular_Wood;Text;;Triangular foundation@Used to expand your raft on the bottom floor.;Nền tảng tam giác@Dùng để mở rộng bè ở tầng dưới cùng.
Block/Foundation_Wood;Text;;Foundation@Used to expand your raft on the bottom floor.;Nền tảng@Dùng để mở rộng bè ở tầng dưới cùng.
Block/Fridge;Text;;Fridge@Can store food, and anything else.;Tủ lạnh@Có thể chứa thức ăn và mọi thứ khác.
Block/FuelTank;Text;;Fuel tank@Specially designed to store biofuel.;Bồn nhiên liệu@Được thiết kế riêng để chứa nhiên liệu sinh học.
Block/Gate_Thatch;Text;;Thatch gate@Provides support for additional floors.;Cổng rơm@Hỗ trợ xây thêm tầng.
Block/Gate_Tier3;Text;;Solid wooden gate@Provides support for additional floors.;Cổng gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/Gate_Wood;Text;;Wooden gate@Provides support for additional floors.;Cổng gỗ@Hỗ trợ xây thêm tầng.
Block/HalfFloor_Tier3;Text;;Raised solid floor@A floor half the height of a wall.;Sàn chắc chắn nâng cao@Sàn có chiều cao bằng nửa tường.
Block/HalfFloor_Triangular_Tier3;Text;;Triangular raised solid floor@A floor half the height of a wall.;Sàn chắc chắn tam giác nâng cao@Sàn có chiều cao bằng nửa tường.
Block/HalfFloor_Triangular_Wood;Text;;Triangular raised floor@A floor half the height of a wall.;Sàn tam giác nâng cao@Sàn có chiều cao bằng nửa tường.
Block/HalfFloor_Wood;Text;;Raised floor@A floor half the height of a wall.;Sàn nâng cao@Sàn có chiều cao bằng nửa tường.
Block/HalfPillar_Tier3;Text;;Solid half wooden pillar@Provides support for additional floors.;Nửa cột gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/HalfPillar_Wood;Text;;Half wooden pillar@Provides support for additional floors.;Nửa cột gỗ@Hỗ trợ xây thêm tầng.
Block/HalfStair_Tier3;Text;;Solid half stair@Allows you to reach half a wall height up.;Nửa cầu thang chắc chắn@Cho phép bạn lên nửa chiều cao tường.
Block/HalfStair_Wood;Text;;Half stair@Allows you to reach half a wall height up.;Nửa cầu thang@Cho phép bạn lên nửa chiều cao tường.
Block/HalfWall_Thatch;Text;;Half thatch wall@Provides support for additional floors.;Nửa tường rơm@Hỗ trợ xây thêm tầng.
Block/HalfWall_Tier3;Text;;Solid half wooden wall@Provides support for additional floors.;Nửa tường gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/HalfWall_Wood;Text;;Half wooden wall@Provides support for additional floors.;Nửa tường gỗ@Hỗ trợ xây thêm tầng.
Block/HonkHorn1;Text;;Air horn@Makes a sound to annoy your friends.;Còi hơi@Phát ra âm thanh để trêu bạn bè.
Block/HonkHorn2;Text;;Honk horn@Makes a sound to annoy your friends.;Còi bấm@Phát ra âm thanh để trêu bạn bè.
Block/HonkHorn3;Text;;Viking horn@Makes a sound to annoy your friends.;Sừng Viking@Phát ra âm thanh để trêu bạn bè.
Block/HorizontalHalfPillar_Tier3;Text;;Horizontal solid half wooden pillar@Provides support for additional floors.;Nửa cột gỗ chắc chắn ngang@Hỗ trợ xây thêm tầng.
Block/HorizontalHalfPillar_Wood;Text;;Horizontal half wooden pillar@Provides support for additional floors.;Nửa cột gỗ ngang@Hỗ trợ xây thêm tầng.
Block/HorizontalPillar_Tier3;Text;;Horizontal solid wooden pillar@Provides support for additional floors.;Cột gỗ chắc chắn ngang@Hỗ trợ xây thêm tầng.
Block/HorizontalPillar_Wood;Text;;Horizontal wooden pillar@Provides support for additional floors.;Cột gỗ ngang@Hỗ trợ xây thêm tầng.
Block/ItemNet;Text;;Simple collection net@Automatically catches items that float into it.;Lưới thu gom đơn giản@Tự động bắt các vật phẩm trôi vào.
Block/ItemNet_Two;Text;;Advanced collection net@Automatically catches items that float into it. Can contain more items then a simlpe collection net.;Lưới thu gom nâng cao@Tự động bắt các vật phẩm trôi vào. Chứa được nhiều hơn lưới thu gom đơn giản.
Block/Juicer;Text;;Juicer@Combines base food into amazing drinks.;Máy ép trái cây@Kết hợp thực phẩm cơ bản thành đồ uống tuyệt vời.
Block/Ladder;Text;;Ladder@A good way to go up and down.;Thang@Cách tốt để lên xuống.
Block/Ladder_Half;Text;;Half ladder@A good way to go up and down.;Nửa thang@Cách tốt để lên xuống.
Block/Ladder_Tier3;Text;;Solid ladder@A good way to go up and down.;Thang chắc chắn@Cách tốt để lên xuống.
Block/Ladder_Tier3_Half;Text;;Solid half ladder@A good way to go up and down.;Nửa thang chắc chắn@Cách tốt để lên xuống.
Block/Lantern;Text;;Lantern@Lights up the dark.;Đèn lồng@Chiếu sáng bóng tối.
Block/Lantern_Metal;Text;;Metal lantern@Lights up the dark.;Đèn lồng kim loại@Chiếu sáng bóng tối.
Block/MajorTom;Text;;Major Tom@Not the best astronaut, but not the worst.;Major Tom@Không phải phi hành gia giỏi nhất, nhưng cũng không tệ nhất.
Block/MotivationalQuote;Text;;Motivational quote@Teasingly perfect...;Câu nói tạo động lực@Hoàn hảo một cách trêu ngươi...
Block/MotorWheel;Text;;Engine@Allows you to go in different directions and increases your speed.;Động cơ@Cho phép bạn di chuyển theo nhiều hướng khác nhau và tăng tốc độ.
Block/Mug;Text;;Mug@Useful for all beverages.;Cốc@Hữu ích cho mọi loại đồ uống.
Block/OpenBook;Text;;Open book@An open book for anyone to read.;Sách mở@Một cuốn sách mở để bất kỳ ai cũng đọc được.
Block/Outhouse;Text;;Outhouse@Not as smelly as one would think.;Nhà vệ sinh ngoài trời@Không nặng mùi như bạn nghĩ.
Block/PaintMill;Text;;Paint mill@Used to turn flowers into paint. Uses water energy to work.;Cối xay sơn@Dùng để biến hoa thành sơn. Sử dụng năng lượng nước để hoạt động.
Block/Painting;Text;;Painting@A decorative piece.;Tranh vẽ@Một món đồ trang trí.
Block/Painting_Tangaroa;Text;;Tangaroa painting@A painting from Tangaroa.;Tranh Tangaroa@Một bức tranh từ Tangaroa.
Block/PaperBundle;Text;;Paper bundle@Rough, stiff and boring.;Xấp giấy@Thô ráp, cứng và nhàm chán.
Block/Piano;Text;;Piano@Become a real beet-hoven.;Đàn piano@Trở thành một Beet-hoven thực thụ.
Block/Pillar_Tier3;Text;;Solid wooden pillar@Provides support for additional floors.;Cột gỗ chắc chắn@Hỗ trợ xây thêm tầng.
Block/Pillar_Wood;Text;;Wooden pillar@Provides support for additional floors.;Cột gỗ@Hỗ trợ xây thêm tầng.
Block/Pipe_Fuel;Text;;Fuel pipe@Useful for transporting biofuel between different machines.;Ống dẫn nhiên liệu@Hữu ích để vận chuyển nhiên liệu sinh học giữa các máy móc.
Block/Pipe_Water;Text;;Water pipe@Useful for transporting water between different machines.;Ống dẫn nước@Hữu ích để vận chuyển nước giữa các máy móc.
Block/Plushie;Text;;Plushie@Soft and adorable!;Thú nhồi bông@Mềm và đáng yêu!
Block/Quill;Text;;Quill@The feather is sooo soft.;Bút lông ngỗng@Cái lông mềm ơi là mềm.
Block/RBPainting_Andre;Text;;Man And Moon@A remnant of a mysterious collective.;Người Và Mặt Trăng@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_Ellen;Text;;The Pot@A remnant of a mysterious collective.;Cái Nồi@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_Felicia;Text;;After The Rain@A remnant of a mysterious collective.;Sau Cơn Mưa@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_Gabriel;Text;;Octohenge@A remnant of a mysterious collective.;Octohenge@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_Illayda;Text;;Neighbors Dog @A remnant of a mysterious collective.;Con Chó Hàng Xóm@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_Petter;Text;;Real Self Portrait@A remnant of a mysterious collective.;Chân Dung Thật@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_Semih;Text;;What Even Is?@A remnant of a mysterious collective.;Cái Gì Đây?@Tàn tích của một tập thể bí ẩn.
Block/RBPainting_William;Text;;Foul Fogs@A remnant of a mysterious collective.;Sương Mù Xấu Xa@Tàn tích của một tập thể bí ẩn.
Block/Radio;Text;;Radio@Unsure if it is functional.;Radio@Không rõ có còn hoạt động không.
Block/Reciever;Text;;Receiver@Used to locate nearby radio signals.;Bộ thu@Dùng để định vị tín hiệu radio gần đó.
Block/Recycler;Text;;Recycler@Combines basic resources into trading post currency.;Máy tái chế@Kết hợp tài nguyên cơ bản thành tiền tệ trạm giao thương.
Block/Repair;Text;;Repair@Repair damaged building parts.;Sửa chữa@Sửa chữa các bộ phận xây dựng bị hư hỏng.
Block/ResearchTable;Text;;Research table@Used to research new items to craft.;Bàn nghiên cứu@Dùng để nghiên cứu vật phẩm mới có thể chế tạo.
Block/Roof_Corner_Thatch;Text;;Thatch roof corner@Covers your head.;Góc mái rơm@Che đầu bạn.
Block/Roof_Corner_Tier3;Text;;Solid wooden roof corner@Covers your head.;Góc mái gỗ chắc chắn@Che đầu bạn.
Block/Roof_Corner_Wood;Text;;Wooden roof corner@Covers your head.;Góc mái gỗ@Che đầu bạn.
Block/Roof_EndCap_Thatch;Text;;Thatch roof endcap@Covers your head.;Nắp mái rơm@Che đầu bạn.
Block/Roof_EndCap_Tier3;Text;;Solid wooden roof endcap@Covers your head.;Nắp mái gỗ chắc chắn@Che đầu bạn.
Block/Roof_EndCap_Wood;Text;;Wooden roof endcap@Covers your head.;Nắp mái gỗ@Che đầu bạn.
Block/Roof_InvCorner_Thatch;Text;;Inverted thatch roof corner@Covers your head.;Góc mái rơm ngược@Che đầu bạn.
Block/Roof_InvCorner_Tier3;Text;;Inverted solid wooden roof corner@Covers your head.;Góc mái gỗ chắc chắn ngược@Che đầu bạn.
Block/Roof_InvCorner_Wood;Text;;Inverted wooden roof corner@Covers your head.;Góc mái gỗ ngược@Che đầu bạn.
Block/Roof_LJunction_Thatch;Text;;Thatch L-junction@Covers your head.;Ngã ba mái rơm chữ L@Che đầu bạn.
Block/Roof_LJunction_Tier3;Text;;Solid wooden L-junction@Covers your head.;Ngã ba mái gỗ chắc chắn chữ L@Che đầu bạn.
Block/Roof_LJunction_Wood;Text;;Wooden L-junction@Covers your head.;Ngã ba mái gỗ chữ L@Che đầu bạn.
Block/Roof_Pyramid_Thatch;Text;;Thatch roof pyramid@Covers your head.;Mái rơm chóp@Che đầu bạn.
Block/Roof_Pyramid_Tier3;Text;;Solid wooden roof pyramid@Covers your head.;Mái gỗ chắc chắn chóp@Che đầu bạn.
Block/Roof_Pyramid_Wood;Text;;Wooden roof pyramid@Covers your head.;Mái gỗ chóp@Che đầu bạn.
Block/Roof_StraightV_Thatch;Text;;Thatch double roof@Covers your head.;Mái rơm đôi@Che đầu bạn.
Block/Roof_StraightV_Tier3;Text;;Solid wooden double roof@Covers your head.;Mái gỗ chắc chắn đôi@Che đầu bạn.
Block/Roof_StraightV_Wood;Text;;Wooden double roof@Covers your head.;Mái gỗ đôi@Che đầu bạn.
Block/Roof_Straight_Thatch;Text;;Thatch roof@Covers your head.;Mái rơm@Che đầu bạn.
Block/Roof_Straight_Tier3;Text;;Solid wooden roof@Covers your head.;Mái gỗ chắc chắn@Che đầu bạn.
Block/Roof_Straight_Wood;Text;;Wooden roof@Covers your head.;Mái gỗ@Che đầu bạn.
Block/Roof_TJunction_Thatch;Text;;Thatch T-junction@Covers your head.;Ngã ba mái rơm chữ T@Che đầu bạn.
Block/Roof_TJunction_Tier3;Text;;Solid wooden T-junction@Covers your head.;Ngã ba mái gỗ chắc chắn chữ T@Che đầu bạn.
Block/Roof_TJunction_Wood;Text;;Wooden T-junction@Covers your head.;Ngã ba mái gỗ chữ T@Che đầu bạn.
Block/Roof_XJunction_Thatch;Text;;Thatch X-junction@Covers your head.;Ngã tư mái rơm chữ X@Che đầu bạn.
Block/Roof_XJunction_Tier3;Text;;Solid wooden X-junction@Covers your head.;Ngã tư mái gỗ chắc chắn chữ X@Che đầu bạn.
Block/Roof_XJunction_Wood;Text;;Wooden X-junction@Covers your head.;Ngã tư mái gỗ chữ X@Che đầu bạn.
Block/Rug;Text;;Rug@Reduces splinters in your feet.;Thảm@Giảm dằm ở chân bạn.
Block/Sail;Text;;Sail@Can nudge you in the right direction.;Cánh buồm@Có thể đẩy nhẹ bạn đi đúng hướng.
Block/SaltPepper;Text;;Salt and pepper shaker@Neccessary if the chef is skimpy.;Lọ muối tiêu@Cần thiết nếu đầu bếp keo kiệt gia vị.
Block/Scarecrow;Text;;Scarecrow@Keeps seagulls away from you crop plots by distracting the attention with its beautiful body.;Bù nhìn@Ngăn hải âu khỏi luống trồng bằng cách thu hút sự chú ý bằng vẻ ngoài xinh đẹp của nó.
Block/Scarecrow_Advanced;Text;;Advanced Scarecrow@Keeps seagulls away from your crop plots for good.;Bù nhìn nâng cao@Ngăn hải âu khỏi luống trồng vĩnh viễn.
Block/ScrapMechanic;Text;;Scrap Mechanic duck@An old plastic duck. Seems to originate from the game Scrap Mechanic.;Vịt Scrap Mechanic@Một con vịt nhựa cũ. Có vẻ đến từ trò chơi Scrap Mechanic.
Block/SetFortified;Text;;Fortify@;Gia cố@
Block/SharkTrophy;Text;;Shark trophy@In memory of the struggle...;Chiến lợi phẩm cá mập@Để tưởng nhớ trận chiến...
Block/Shelf;Text;;Shelf@A shelf to place things on.;Kệ@Một chiếc kệ để đặt đồ.
Block/Shelf_Large;Text;;Large shelf@;Kệ lớn@
Block/Sign_LiveLaughSail;Text;;Live, laugh, sail@An annoyingly perfect sign.;Sống, cười, giong buồm@Một tấm biển hoàn hảo đến khó chịu.
Block/Sign_RaftSweetRaft;Text;;Raft sweet raft@An annoyingly perfect sign.;Bè ngọt ngào ơi@Một tấm biển hoàn hảo đến khó chịu.
Block/Sofa;Text;;Sofa@Comfy and elegant.;Ghế sofa@Êm ái và sang trọng.
Block/SpiralStair;Text;;Spiral stair case@A fancier stair.;Cầu thang xoắn ốc@Một cầu thang đẹp hơn.
Block/SpiralStairHalf;Text;;Half spiral staircase@A fancier half stair.;Nửa cầu thang xoắn ốc@Một nửa cầu thang đẹp hơn.
Block/Sprinkler;Text;;Sprinkler@Waters your crops automatically. Seems to be missing a battery though.;Vòi phun nước@Tự động tưới cây trồng. Có vẻ như đang thiếu pin.
Block/Stair_Tier3;Text;;Solid stair@Great to get from one floor to another.;Cầu thang chắc chắn@Rất tốt để đi từ tầng này sang tầng khác.
Block/Stair_Wood;Text;;Stair@Great to get from one floor to another.;Cầu thang@Rất tốt để đi từ tầng này sang tầng khác.
Block/SteeringWheel;Text;;Steering Wheel@Allows you to rotate your raft. Extra useful in combination with an engine.;Bánh lái@Cho phép bạn xoay bè. Hữu ích hơn khi kết hợp với động cơ.
Block/Storage_Large;Text;;Large Storage@Used to store a lot of items.;Kho chứa lớn@Dùng để chứa rất nhiều vật phẩm.
Block/Storage_Medium;Text;;Storage@Used to store more items.;Kho chứa@Dùng để chứa nhiều vật phẩm hơn.
Block/Storage_Small;Text;;Small storage@Used to store items.;Kho chứa nhỏ@Dùng để chứa vật phẩm.
Block/Streamer;Text;;Streamer@Useful for knowing which way is forward.;Dải cờ gió@Hữu ích để biết hướng nào là phía trước.
Block/StringLight;Text;;String light@Sets the mood.;Đèn dây@Tạo không khí.
Block/Surfboard;Text;;Surfboard@Somebody got unlucky.;Ván lướt sóng@Có ai đó đã gặp xui xẻo.
Block/Table;Text;;Table@A table to place things on... Or under. Goes well with a chair.;Bàn@Một chiếc bàn để đặt đồ lên trên... hoặc bên dưới. Đi kèm ghế thì càng hợp.
Block/Table_Small;Text;;Table@A table to place things on.;Bàn@Một chiếc bàn để đặt đồ.
Block/Tablecloth;Text;;Tablecloth@Fits perfectly on a table.;Khăn trải bàn@Vừa vặn hoàn hảo trên bàn.
